label,nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z
D,-0.0774981081485748,-0.2459921240806579,-0.2139348834753036,0.0538653135299682,-0.1813890039920807,-0.4903589189052582,-0.0546027719974517,-0.1721575558185577,0.1845893859863281,-0.0304924547672271,-0.0860176682472229,-0.5230518579483032,-0.1051351726055145,-0.0832117795944213,0.304975688457489,-0.0939018130302429,0.0018408298492431,-0.4562986195087433,-0.1659917831420898,-0.0043616592884063,0.1818118095397949,0.0382407903671264,0.0027272701263427,-0.1933222115039825,-0.0382407903671264,-0.0027272403240203,0.1931077688932418
D,-0.0516496896743774,-0.2416165769100189,-0.1529375165700912,0.0676497817039489,-0.1794079840183258,-0.5011770725250244,-0.0252068042755126,-0.1732397973537445,0.2611258327960968,-0.0196093320846557,-0.0826523602008819,-0.5196698307991028,-0.0858876705169677,-0.0854034423828125,0.3865427672863006,-0.1267340183258056,-0.0094792246818542,-0.4027687907218933,-0.1795533895492553,-0.01344496011734,0.2712816298007965,0.0337030291557312,0.0019803047180175,-0.2223339974880218,-0.0337030291557312,-0.0019802749156951,0.2220958918333053
D,0.0498817563056945,-0.2317721247673034,-0.1509603261947631,0.1489502787590026,-0.1663293540477752,-0.4340785145759582,0.0500544905662536,-0.1663045585155487,0.2731907367706299,0.0468863248825073,-0.086238294839859,-0.511134147644043,-0.0461885929107666,-0.0924713313579559,0.3763936758041382,-0.084086537361145,-0.0309206843376159,-0.4698148965835571,-0.1529573798179626,-0.0333695709705352,0.2269102185964584,0.0332774519920349,0.0026217103004455,-0.2164271920919418,-0.0332774519920349,-0.0026217103004455,0.2160750180482864
D,-0.2149779796600341,-0.2231593430042266,-0.4016605615615845,-0.0477015972137451,-0.1611924767494201,-0.6494226455688477,-0.1409071683883667,-0.1594268679618835,0.0214027035981416,-0.0406860709190368,-0.0482468605041503,-0.6286293268203735,-0.1187250316143035,-0.0580264329910278,0.1657342761754989,-0.1033278703689575,0.0373744964599609,-0.5110526084899902,-0.1656680107116699,0.0275277495384216,0.047395009547472,0.0388975143432617,0.000501811504364,-0.1831700801849365,-0.0388975143432617,-0.000501811504364,0.1829623728990554
D,-0.0681297481060028,-0.2605739682912826,-0.229759007692337,0.0710113048553466,-0.1957215666770935,-0.5853081345558167,-0.0150230526924133,-0.1898950934410095,0.1990759521722793,-0.0216466784477233,-0.0880519151687622,-0.6174246072769165,-0.0844914615154266,-0.0903856754302978,0.3305835127830505,-0.1126618087291717,-0.0022063851356506,-0.5421170592308044,-0.1595232486724853,-0.0073449611663818,0.2113925665616989,0.0298067331314086,0.0015458464622497,-0.2331040799617767,-0.0298067331314086,-0.0015458464622497,0.2325668036937713
D,-0.0653485059738159,-0.2661053538322449,-0.2545308172702789,0.0668777823448181,-0.1955560445785522,-0.5850204229354858,-0.0189763307571411,-0.1930626928806305,0.168703943490982,-0.0358448028564453,-0.0852801799774169,-0.5900058746337891,-0.0754492878913879,-0.0891732275485992,0.3051303625106811,-0.1398318409919738,0.0022575855255126,-0.4729732275009155,-0.1561070084571838,-0.0082211196422576,0.2042959779500961,0.0338774323463439,0.0047805905342102,-0.2179512828588485,-0.0338774323463439,-0.0047805905342102,0.2173811048269271
D,-0.0545016229152679,-0.2411859333515167,-0.2150735706090927,0.0724992752075195,-0.1823093295097351,-0.4970378875732422,-0.0323593318462371,-0.1754154562950134,0.2002334743738174,-0.0209380388259887,-0.0884950459003448,-0.5514765381813049,-0.1007153689861297,-0.0890004932880401,0.3176485300064087,-0.0970074236392974,-0.0010013580322265,-0.5136709809303284,-0.1689591705799102,-0.0100365281105041,0.1981795728206634,0.0376135110855102,0.0019658803939819,-0.2091610580682754,-0.0376135408878326,-0.0019658803939819,0.2088731974363327
D,-0.0572659075260162,-0.2779633104801178,-0.1593662053346634,0.0690528154373169,-0.2089796662330627,-0.5253680944442749,0.0234555006027221,-0.2058937549591064,0.2304251343011856,-0.0745639204978942,-0.1085143089294433,-0.525976300239563,-0.0670715868473053,-0.105495810508728,0.3116093873977661,-0.1740065515041351,-0.0155737102031707,-0.4193218350410461,-0.1415550708770752,-0.0196529030799865,0.2051885426044464,0.0177829265594482,0.0039242506027221,-0.2213398665189743,-0.0177828967571258,-0.0039242804050445,0.2208032757043838
D,-0.0670778453350067,-0.2711788266897201,-0.0691429898142814,0.0571836233139038,-0.2126405537128448,-0.466565877199173,0.0340193510055542,-0.205356478691101,0.2923714220523834,-0.0932439565658569,-0.1204514503479003,-0.4738970696926117,-0.0607248246669769,-0.1042399406433105,0.359225332736969,-0.1983733475208282,-0.026136040687561,-0.3567814826965332,-0.1651168167591095,-0.0235176086425781,0.2481600940227508,0.019158124923706,0.0019556283950805,-0.22348053753376,-0.0191581547260284,-0.0019556283950805,0.2230663448572158
D,0.0864607095718383,-0.2782730013132095,-0.1649233996868133,0.1593759059906005,-0.2003953456878662,-0.5460287928581238,0.1563500165939331,-0.2002854943275451,0.2399554848670959,0.0008103847503662,-0.1051256358623504,-0.5906857848167419,0.0338420867919921,-0.1004815995693206,0.3278648257255554,-0.0998667478561401,-0.0114716589450836,-0.4968754649162292,-0.0624479353427886,-0.0304414331912994,0.2318619936704635,0.0019207000732421,0.0016519427299499,-0.2497540563344955,-0.0019206702709197,-0.0016519427299499,0.2491699010133743
D,-0.3901246786117553,-0.2221386432647705,-0.3458044528961181,-0.221118539571762,-0.1713640689849853,-0.7460468411445618,-0.2378324568271637,-0.1600371897220611,0.211492657661438,-0.1746427118778228,-0.0429027080535888,-0.7750042080879211,-0.1602201759815216,-0.0506681203842163,0.3122567236423492,-0.1606520116329193,0.0721460580825805,-0.6199500560760498,-0.1483890116214752,0.0556128025054931,0.1192666813731193,0.0169862508773803,-0.0005514025688171,-0.2605657875537872,-0.0169862210750579,0.0005514025688171,0.2606141269207001
