label,horizontal,nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
U,True,0.2838471233844757,0.4141247570514679,-0.0416676215827465,0.3412162363529205,0.4079500138759613,-0.1903459131717682,0.3601149916648865,0.3809836804866791,0.136075347661972,0.3347698748111725,0.5738990306854248,-0.2374895513057708,0.3523465692996979,0.5321877002716064,0.1527675092220306,0.3282283842563629,0.7065032720565796,-0.2177036553621292,0.3444564640522003,0.6499019861221313,0.0815816149115562
U,True,0.2927331626415252,0.3854068219661712,-0.0509705320000648,0.3561067283153534,0.390813261270523,-0.2008137851953506,0.3674584329128265,0.3547821938991546,0.1437644958496093,0.3702493011951446,0.5478879809379578,-0.2463982701301574,0.3785263895988464,0.5093711018562317,0.1661396920680999,0.3617978096008301,0.6755802035331726,-0.24078069627285,0.3729055821895599,0.629371702671051,0.080223761498928
U,True,0.2913231253623962,0.3416210412979126,-0.1366543918848037,0.3500647842884063,0.41196209192276,-0.2644817233085632,0.3656897246837616,0.3711735606193542,0.1049868464469909,0.3541228473186493,0.5707401633262634,-0.3005560040473938,0.3671413362026214,0.5221911668777466,0.115786962211132,0.3522396087646484,0.7027304172515869,-0.2822532653808594,0.3614278137683868,0.6486751437187195,0.0477093122899532
U,True,0.2905633747577667,0.327995091676712,-0.0857583060860633,0.3503231108188629,0.3992778062820434,-0.2231806218624115,0.3680343925952911,0.3650377988815307,0.1269121766090393,0.3604691624641418,0.5605617165565491,-0.2534687519073486,0.3717730641365051,0.5186727046966553,0.1318621933460235,0.3657427132129669,0.6973782777786255,-0.2340029180049896,0.3739682137966156,0.6515232920646667,0.0736589208245277
U,True,0.2813198268413543,0.4114401340484619,-0.0525538064539432,0.3427057266235351,0.4063886404037475,-0.1971444189548492,0.3600150644779205,0.3815076947212219,0.1323540806770324,0.3381995260715484,0.5733965039253235,-0.2434725165367126,0.3525855839252472,0.5354306697845459,0.1500104963779449,0.3321248888969421,0.7090529203414917,-0.2239489555358886,0.3452655375003814,0.6534342169761658,0.0730311870574951
U,True,0.2853358089923858,0.3634902834892273,-0.0887720733880996,0.3487306237220764,0.4054083824157715,-0.2292901128530502,0.3589276373386383,0.3708571195602417,0.1062242835760116,0.3592328727245331,0.5722196102142334,-0.2631946802139282,0.3661769926548004,0.5236634612083435,0.1244473680853843,0.3592885434627533,0.6959537863731384,-0.2665334343910217,0.3654697835445404,0.6492426991462708,0.0626931488513946
U,True,0.2818228900432586,0.3692535161972046,-0.0740027874708175,0.3470121324062347,0.4155780076980591,-0.2125848978757858,0.3621832728385925,0.378341794013977,0.1105376407504081,0.3532472550868988,0.5791030526161194,-0.2430871278047561,0.3682697713375091,0.5302689075469971,0.1257181763648986,0.3559661209583282,0.7010160088539124,-0.2464443445205688,0.366738885641098,0.6623090505599976,0.0745542272925376
U,True,0.2951828241348266,0.3407476544380188,-0.0471345745027065,0.3524174690246582,0.4006650745868683,-0.2043628394603729,0.3716259598731994,0.3585239350795746,0.1294010728597641,0.3633559644222259,0.5612679123878479,-0.2425097078084945,0.3744364380836487,0.5187183022499084,0.1338922828435897,0.3677670359611511,0.6834502816200256,-0.2411372810602188,0.3746958374977112,0.643880307674408,0.0713817030191421
U,True,0.2916811406612396,0.3758121132850647,-0.0736828595399856,0.35197713971138,0.3948864340782165,-0.2088945508003235,0.3669705688953399,0.3629034161567688,0.1242602169513702,0.3612034618854522,0.5573532581329346,-0.2489194422960281,0.3744367361068725,0.5109072327613831,0.1475093960762024,0.3577417135238647,0.6879793405532837,-0.236605018377304,0.3690283596515655,0.6363369822502136,0.074331909418106
U,True,0.2773596346378326,0.4184487462043762,-0.0943517163395881,0.3422802984714508,0.4319604635238647,-0.2041346579790115,0.3541596233844757,0.4037783145904541,0.0973291993141174,0.342341274023056,0.6037337183952332,-0.2270904332399368,0.3579446673393249,0.5501610040664673,0.1131174489855766,0.3419292569160461,0.720310628414154,-0.2069811820983886,0.3544695079326629,0.6719687581062317,0.0633574724197387
